/Users/erwenchen/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Historical HTML scraper — 1 target(s)
per_period=20, max_per_target=500


======================================================================
  Malaysia:grabfood-my  (food.grab.com/my/en/restaurant/*)
======================================================================
  [106/380] 20210725 https://food.grab.com/my/en/restaurant/a-look-eyewear-aeon-seremban-2- … 118 items
  [107/380] 20210919 https://food.grab.com/my/en/restaurant/a-mart-jalan-medan-tuanku-deliv … 200 items
  [108/380] 20210724 https://food.grab.com/my/en/restaurant/a-w%C2%AE-kluang-mall-delivery/ … 50 items
  [109/380] 20210926 https://food.grab.com/my/en/restaurant/abc-anak-melaka-medan-selera-da … 38 items
  [110/380] 20210726 https://food.grab.com/my/en/restaurant/absolute-thai-sunway-big-box-de … 35 items
  [111/380] 20210803 https://food.grab.com/my/en/restaurant/adult-food-beverage-bangsar-vil … 0 items
  [112/380] 20210916 https://food.grab.com/my/en/restaurant/after-4-kopitiam-aiman-mall-del … 200 items
  [113/380] 20210917 https://food.grab.com/my/en/restaurant/after-4-kopitiam-jalan-rubber-d … 200 items
  [114/380] 20210921 https://food.grab.com/my/en/restaurant/ags-fried-chicken-bachang-deliv … 7 items
  [115/380] 20210918 https://food.grab.com/my/en/restaurant/ah-boon-chicken-rice-icom-squar … fetch fail
  [116/380] 20210924 https://food.grab.com/my/en/restaurant/ah-boon-chicken-rice-jalan-ang- … 6 items
  [117/380] 20210927 https://food.grab.com/my/en/restaurant/ah-boon-chicken-rice-jalan-rubb … fetch fail
  [118/380] 20210731 https://food.grab.com/my/en/restaurant/ah-cheng-laksa-aeon-nilai-deliv … 40 items
  [119/380] 20210925 https://food.grab.com/my/en/restaurant/ah-fen-cafe-jalan-ang-cheng-ho- … fetch fail
  [120/380] 20210917 https://food.grab.com/my/en/restaurant/ah-huat-nasi-lemak-kukus-tradis … 84 items
  [121/380] 20211225 https://food.grab.com/my/en/restaurant/canton-kitchen-sri-rampai-non-h … 96 items
  [122/380] 20211127 https://food.grab.com/my/en/restaurant/fahrenheit-600-delivery/MYDD048 … 133 items
  [123/380] 20211205 https://food.grab.com/my/en/restaurant/madam-kwan-s-imago-shopping-mal … 109 items
  [124/380] 20211023 https://food.grab.com/my/en/restaurant/nanyang-cafe-cheras-traders-squ … 123 items
  [125/380] 20211018 https://food.grab.com/my/en/restaurant/nanyang-cafe-pavilion-elite-non … 123 items
  [126/380] 20211018 https://food.grab.com/my/en/restaurant/starbucks-johor-bahru-city-squa … 149 items
  [127/380] 20211216 https://food.grab.com/my/en/restaurant/takoatok-1-shamelin-delivery/1- … 6 items
  [128/380] 20211220 https://food.grab.com/my/en/restaurant/the-cafe-more-the-fare-delivery … 168 items
  [129/380] 20211028 https://food.grab.com/my/en/restaurant/the-majapahit-mont-kiara-delive … 91 items
  [130/380] 20211116 https://food.grab.com/my/en/restaurant/warung-pok-kob-de-salai-jalan-l … 19 items
  [131/380] 20220315 https://food.grab.com/my/en/restaurant/cafe-marhaban-rizq-maju-jalan-s … 12 items
  [132/380] 20220313 https://food.grab.com/my/en/restaurant/chef-kecik-jalan-eco-majestic-9 … 32 items
  [133/380] 20220112 https://food.grab.com/my/en/restaurant/d-laksa-mytown-delivery/1-CYVZV … 17 items
  [134/380] 20220208 https://food.grab.com/my/en/restaurant/dt-cafe-shellout-and-western-de … 165 items
  [135/380] 20220208 https://food.grab.com/my/en/restaurant/dt-cafe-shellout-and-western-de … 165 items
  [136/380] 20220325 https://food.grab.com/my/en/restaurant/kopi-saigon-kampung-baru-delive … 28 items
  [137/380] 20220227 https://food.grab.com/my/en/restaurant/mikey-s-original-new-york-pizza … 43 items
  [138/380] 20220308 https://food.grab.com/my/en/restaurant/nasi-gadow-taman-villa-putra-de … fetch fail
  [139/380] 20220205 https://food.grab.com/my/en/restaurant/nitro-kl-enjoys-corner-delivery … fetch fail
  [140/380] 20220106 https://food.grab.com/my/en/restaurant/soong-kee-setapak-since-1945-no … 21 items
  [141/380] 20220310 https://food.grab.com/my/en/restaurant/tasty-chapathi-pj-delivery/MYDD … 196 items
